id,address,zip_code,city,county,state,neighborhood,neighborhood_id,type,baths,beds,mls_id,status,list_price,image_url,is_foreclosure,sqft,lot_size,latitude,longitude
1567879,15701 Collins Ave #1803,33160,Miami,MIAMI-DADE COUNTY,FL,Upper Eastside,269216,Condo/Coop,3,2,A11021298,inactive,2450000.0,http://photos.listhub.net/MAORFL/A11021298/1?lm=20210331T225818,0,1447.0,,25.922,-80.1219
349800,15901 COLLINS AV #2607,33160,Miami,MIAMI-DADE COUNTY,FL,Upper Eastside,269216,Condo/Coop,3,3,A2187837,inactive,1399000.0,http://photos.listhub.net/MAORFL/A2187837/1?lm=20160107T003434,0,2084.0,0.0,25.9237,-80.1218
1137032,16385 biscayne #506,33160,Miami,MIAMI-DADE COUNTY,FL,Upper Eastside,269216,Condo/Coop,2,2,A10607763,inactive,450000.0,http://photos.listhub.net/MAORFL/A10607763/1?lm=20190628T050106,0,,,25.9297,-80.1528
1205966,16385 BISCAYNE BLVD #1002,33160,Miami,MIAMI-DADE COUNTY,FL,Upper Eastside,269216,Condo/Coop,2,1,A10649163,inactive,450000.0,http://photos.listhub.net/MAORFL/A10649163/1?lm=20210315T041630,0,937.0,,25.9174,-80.1561
1365885,16385 Biscayne Blvd #1516,33160,Miami,MIAMI-DADE COUNTY,FL,Upper Eastside,269216,Condo/Coop,2,2,A10943278,inactive,675000.0,http://photos.listhub.net/MAORFL/A10943278/1?lm=20201016T150803,0,1107.0,,25.9461,-80.1472
1143792,16385 Biscayne Blvd #1607,33160,Miami,MIAMI-DADE COUNTY,FL,Upper Eastside,269216,Condo/Coop,3,3,A10616967,inactive,1225000.0,http://photos.listhub.net/MAORFL/A10616967/1?lm=20190214T211336,0,,,25.9189,-80.1558
1135230,16385 Biscayne Blvd #1621,33160,Miami,MIAMI-DADE COUNTY,FL,Upper Eastside,269216,Condo/Coop,3,3,A11206126,Active,1100000.0,http://lh.rdcpix.com/80433762718c35b6d150f08c52d8d61el-f2392178767r.jpg,0,,,25.9297,-80.1528
1219649,16385 Biscayne Blvd #PH-3,33160,Miami,MIAMI-DADE COUNTY,FL,Upper Eastside,269216,Condo/Coop,2,2,A10657598,inactive,870000.0,http://photos.listhub.net/MAORFL/A10657598/1?lm=20190429T181849,0,118.0,,25.9174,-80.1561
1381480,16465 NE 22nd Avenue #120,33160,Miami,MIAMI-DADE,FL,Upper Eastside,269216,Condo/Coop,2,2,RX-10560951,inactive,149900.0,http://photos.listhub.net/RMLSFL/RX-10560951/1?lm=20190913T171515,0,1012.0,,25.9282,-80.155
1492373,16711 Collins #310,33160,Miami,MIAMI-DADE COUNTY,FL,Upper Eastside,269216,Condo/Coop,3,2,A10797450,inactive,1199000.0,http://photos.listhub.net/MAORFL/A10797450/1?lm=20200402T232634,0,,,25.9317,-80.1212
879009,16901 COLLINS AV #1002,33160,Miami,MIAMI-DADE COUNTY,FL,Upper Eastside,269216,Condo/Coop,3,2,A10477751,inactive,3000000.0,http://photos.listhub.net/MAORFL/A10477751/1?lm=20180614T185045,0,2615.0,,25.9328,-80.1212
757981,16901 Collins Av #2302,33160,Miami,MIAMI-DADE COUNTY,FL,Upper Eastside,269216,Condo/Coop,3,2,A10422119,inactive,3300000.0,http://photos.listhub.net/MAORFL/A10422119/1?lm=20180405T235108,0,2620.0,,25.9328,-80.1212
1124714,16901 COLLINS AV #802,33160,Miami,MIAMI-DADE COUNTY,FL,Upper Eastside,269216,Condo/Coop,3,2,A10608862,inactive,2950000.0,http://photos.listhub.net/MAORFL/A10608862/1?lm=20190501T050848,0,,,25.9329,-80.1212
879008,16901 COLLINS AVE #2204,33160,Miami,MIAMI-DADE COUNTY,FL,Upper Eastside,269216,Condo/Coop,2,1,A10477738,inactive,2100000.0,http://photos.listhub.net/MAORFL/A10477738/1?lm=20180614T185047,0,1581.0,,25.9328,-80.1212
968590,16901 COLLINS AVENUE #2605,33160,Miami,MIAMI-DADE COUNTY,FL,Upper Eastside,269216,Condo/Coop,6,4,A10522859,inactive,4890000.0,http://photos.listhub.net/MAORFL/A10522859/1?lm=20190712T202534,0,3986.0,,25.9328,-80.1212
